HWFET,
Time,Speed
s,kmph
0,0
1,0
2,0
3,2.735878
4,6.7029011
5,11.0803059
6,15.4577107
7,19.8351155
8,23.6653447
9,26.8116044
10,29.8210702
11,32.830536
12,35.2928262
13,37.0711469
14,38.302292
15,39.670231
16,41.03817
17,41.9957273
18,43.0900785
19,44.0476358
20,45.0051931
21,45.8259565
22,46.6467199
23,47.3306894
24,47.7410711
25,48.0146589
26,48.8354223
27,49.1090101
28,48.9722162
29,48.2882467
30,47.7410711
31,47.1938955
32,47.3306894
33,47.6042772
34,48.0146589
35,48.8354223
36,49.3825979
37,49.5193918
38,49.9297735
39,50.2033613
40,50.4769491
41,50.613743
42,50.613743
43,50.613743
44,50.613743
45,50.613743
46,50.613743
47,50.7505369
48,51.0241247
49,51.7080942
50,52.8024454
51,53.7600027
52,54.71756
53,55.6751173
54,56.6326746
55,57.7270258
56,58.6845831
57,59.5053465
58,60.189316
59,60.5996977
60,60.8732855
61,61.2836672
62,61.4204611
63,61.557255
64,61.6940489
65,62.1044306
66,62.5148123
67,62.925194
68,63.3355757
69,63.6091635
70,64.0195452
71,64.1563391
72,64.293133
73,64.4299269
74,64.5667208
75,64.7035147
76,64.5667208
77,64.4299269
78,64.293133
79,64.1563391
80,64.1563391
81,64.1563391
82,64.293133
83,64.4299269
84,64.4299269
85,64.5667208
86,64.4299269
87,64.293133
88,64.1563391
89,63.6091635
90,63.3355757
91,63.1987818
92,63.3355757
93,63.6091635
94,64.1563391
95,64.4299269
96,64.8403086
97,65.2506903
98,65.661072
99,65.9346598
100,66.3450415
101,66.7554232
102,67.1658049
103,67.3025988
104,67.1658049
105,67.1658049
106,67.029011
107,67.029011
108,67.1658049
109,67.3025988
110,67.4393927
111,67.5761866
112,67.7129805
113,67.7129805
114,67.7129805
115,67.5761866
116,67.1658049
117,66.8922171
118,66.4818354
119,66.2082476
120,65.7978659
121,65.2506903
122,64.8403086
123,64.7035147
124,64.9771025
125,65.3874842
126,65.5242781
127,65.661072
128,65.5242781
129,65.5242781
130,65.5242781
131,65.661072
132,65.661072
133,65.661072
134,65.5242781
135,64.7035147
136,62.925194
137,59.2317587
138,56.3590868
139,54.0335905
140,53.6232088
141,53.349621
142,53.349621
143,53.4864149
144,54.0335905
145,54.8543539
146,56.085499
147,57.453438
148,58.9581709
149,59.7789343
150,60.3261099
151,60.5996977
152,60.7364916
153,61.0100794
154,61.1468733
155,61.4204611
156,61.8308428
157,62.5148123
158,62.7884001
159,63.3355757
160,64.0195452
161,64.1563391
162,64.293133
163,64.4299269
164,65.1138964
165,65.5242781
166,65.661072
167,65.661072
168,65.5242781
169,65.3874842
170,64.7035147
171,63.8827513
172,63.1987818
173,62.7884001
174,62.5148123
175,62.2412245
176,62.1044306
177,61.9676367
178,61.557255
179,60.189316
180,58.9581709
181,57.7270258
182,56.7694685
183,56.7694685
184,57.5902319
185,58.6845831
186,59.5053465
187,60.0525221
188,59.6421404
189,59.2317587
190,58.821377
191,58.9581709
192,59.3685526
193,60.0525221
194,60.5996977
195,61.0100794
196,61.4204611
197,61.2836672
198,60.7364916
199,60.0525221
200,59.3685526
201,59.0949648
202,59.0949648
203,58.9581709
204,58.821377
205,58.821377
206,58.9581709
207,59.3685526
208,60.0525221
209,60.189316
210,59.5053465
211,58.2742014
212,56.7694685
213,55.6751173
214,54.71756
215,54.71756
216,55.1279417
217,56.085499
218,57.453438
219,58.4109953
220,58.9581709
221,59.0949648
222,59.3685526
223,60.0525221
224,60.5996977
225,61.1468733
226,61.6940489
227,62.1044306
228,62.6516062
229,63.6091635
230,64.1563391
231,64.5667208
232,64.8403086
233,64.7035147
234,64.7035147
235,64.5667208
236,64.5667208
237,64.5667208
238,64.4299269
239,64.293133
240,64.293133
241,64.1563391
242,64.0195452
243,64.1563391
244,64.293133
245,64.5667208
246,64.9771025
247,65.5242781
248,65.661072
249,65.661072
250,65.661072
251,65.661072
252,65.661072
253,65.7978659
254,65.9346598
255,65.9346598
256,65.7978659
257,66.4818354
258,66.8922171
259,67.1658049
260,67.1658049
261,67.1658049
262,67.1658049
263,67.1658049
264,67.029011
265,66.8922171
266,65.9346598
267,65.2506903
268,64.9771025
269,64.5667208
270,63.8827513
271,63.1987818
272,62.925194
273,62.6516062
274,62.3780184
275,62.1044306
276,61.8308428
277,61.557255
278,61.1468733
279,60.8732855
280,60.4629038
281,59.5053465
282,58.5477892
283,57.453438
284,54.8543539
285,52.8024454
286,51.2977125
287,48.9722162
288,47.4674833
289,46.509926
290,45.5523687
291,44.4580175
292,43.3636663
293,41.8589334
294,40.4909944
295,39.3966432
296,38.8494676
297,39.1230554
298,40.3542005
299,42.9532846
300,45.6891626
301,48.6986284
302,51.2977125
303,53.4864149
304,54.9911478
305,56.2222929
306,57.1798502
307,58.0006136
308,58.5477892
309,59.2317587
310,59.9157282
311,60.5996977
312,61.1468733
313,61.557255
314,61.8308428
315,62.1044306
316,62.2412245
317,62.6516062
318,62.925194
319,63.0619879
320,63.6091635
321,64.0195452
322,64.4299269
323,65.2506903
324,66.0714537
325,67.029011
326,67.9865683
327,68.8073317
328,69.764889
329,70.7224463
330,71.6800036
331,72.6375609
332,73.5951182
333,74.5526755
334,75.5102328
335,76.3309962
336,77.1517596
337,77.8357291
338,77.972523
339,78.1093169
340,78.3829047
341,78.7932864
342,79.0668742
343,79.340462
344,79.4772559
345,79.8876376
346,80.2980193
347,80.4348132
348,80.5716071
349,80.708401
350,80.708401
351,80.5716071
352,80.4348132
353,80.1612254
354,79.8876376
355,79.6140498
356,79.4772559
357,79.340462
358,79.2036681
359,78.7932864
360,78.5196986
361,78.2461108
362,78.1093169
363,77.972523
364,77.972523
365,77.8357291
366,77.8357291
367,77.8357291
368,77.972523
369,77.972523
370,77.972523
371,77.972523
372,77.972523
373,77.972523
374,77.972523
375,77.972523
376,77.972523
377,77.8357291
378,77.6989352
379,77.2885535
380,76.8781718
381,76.604584
382,76.604584
383,76.604584
384,76.7413779
385,77.1517596
386,77.5621413
387,77.8357291
388,78.1093169
